Senha;Setor;Tipo;Mesa;Tempo de Espera (min);Tempo de Atendimento (min)
DP0002;Protocolar;Preferencial;1;0;0
OP0005;Ouvidoria;Preferencial;1;0;34
ON0004;Ouvidoria;Normal;1;0;180
ON0006;Ouvidoria;Normal;1;10;0
ON0005;Ouvidoria;Normal;1;10;0
OP0002;Ouvidoria;Preferencial;1;0;57
OP0004;Ouvidoria;Preferencial;1;0;0
OP0003;Ouvidoria;Preferencial;1;0;0
ON0003;Ouvidoria;Normal;1;0;2
ON0002;Ouvidoria;Normal;1;0;12
DP0001;Protocolar;Preferencial;2;0;1
ON0001;Ouvidoria;Normal;1;1;0
OP0001;Ouvidoria;Preferencial;1;0;4
